"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Business Continuity & Disaster Recovery,BCD-12(c),Electronic Discovery (eDiscovery),BCD-12.3,Mechanisms exist to utilize electronic discovery (eDiscovery) that covers current and archived communication transactions.,8,Technical,Enhanced,Respond,,,,,,,,x,x,,,x,x,,,x,,,x,x,,,,,,,x,x,,x,,,
Business Continuity & Disaster Recovery,BCD-12(d),Restore Within Time Period,BCD-12.4,"Mechanisms exist to restore information system components within organization-defined restoration time-periods from configuration-controlled and integrity-protected information; representing a known, operational state for the components. ",5,Technical,Enhanced,Respond,,,,,,,x,,x,,,x,x,x,x,x,,,x,x,x,x,,,,,,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-13,Backup & Restoration Hardware Protection ,BCD-13,Mechanisms exist to protect backup and restoration hardware and software.,8,Technical,Basic,Protect,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,x,,,
Capacity & Performance Planning,CAP-01,Capacity & Performance Management ,CAP-01,Mechanisms exist to facilitate the implementation of capacity management controls to ensure optimal system performance for future capacity requirements.,8,Management,Basic,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,,
Capacity & Performance Planning,CAP-02,Resource Priority,CAP-02,Mechanisms exist to control resource utilization of systems that are susceptible to Denial of Service (DoS) attacks to limit and prioritize the use of resources.,8,Technical,Basic,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,,
Capacity & Performance Planning,CAP-03,Capacity Planning ,CAP-03,"Mechanisms exist to conducted capacity planning so that necessary capacity for information processing, telecommunications and environmental support will exist during contingency operations. ",8,Management,Basic,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,,
Change Management,CHG-01,Change Management Program ,CHG-01,Mechanisms exist to facilitate the implementation of change management controls.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Change Management,CHG-02,Configuration Change Control ,CHG-02,Mechanisms exist to govern the technical configuration change control processes.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Change Management,CHG-02(a),Prohibition Of Changes,CHG-02.1,"Mechanisms exist to prohibit unauthorized changes, unless designated approvals are received.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Change Management,CHG-02(b),"Test, Validate & Document Changes ",CHG-02.2,Mechanisms exist to test and document proposed changes in a non-production environment before changes are implemented in a production environment.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Change Management,CHG-02(c),Security Representative for Change,CHG-02.3,Mechanisms exist to include a cybersecurity representative in the configuration change control review process.,7,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Change Management,CHG-02(d),Automated Security Response,CHG-02.4,Automated mechanisms exist to implement remediation actions upon the detection of unauthorized baseline configurations change(s).,5,Technical,Enhanced,Protect,,,,x,,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,x,x,,x,x,,
Change Management,CHG-02(e),Cryptographic Management,CHG-02.5,Mechanisms exist to govern assets involved in providing cryptographic protections according to the organization's configuration management processes. ,5,Technical,Enhanced,Protect,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Management,CHG-03,Security Impact Analysis for Changes ,CHG-03,"Mechanisms exist to analyze proposed changes for potential security impacts, prior to the implementation of the change.",9,Technical,Basic,Protect,,,,x,,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,x,x,,x,x,,
Change Management,CHG-04,Access Restriction For Change,CHG-04,Mechanisms exist to enforce configuration restrictions in an effort to restrict the ability of users to conduct unauthorized changes.,8,Technical,Basic,Protect,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Management,CHG-04(a),Automated Access Enforcement / Auditing ,CHG-04.1,Mechanisms exist to perform after-the-fact reviews of configuration change logs to discover any unauthorized changes.,3,Technical,Enhanced,Detect,,,,x,,x,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,x,x,,x,x,,
Change Management,CHG-04(b),Signed Components ,CHG-04.2,Mechanisms exist to prevent the installation of software and firmware components without verification that the component has been digitally signed using a certificate that is recognized and approved by the organization. ,3,Technical,Enhanced,Protect,,,,,,x,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,
Change Management,CHG-04(c),Dual Authorization for Change,CHG-04.3,Mechanisms exist to enforce a two-person rule for implementing changes to critical assets.,6,Technical,Enhanced,Protect,x,x,,,x,,x,x,x,x,x,x,x,x,x,,,,,x,,,x,x,x,,x,,,,,,
Change Management,CHG-04(d),Limit Production / Operational Privileges (Incompatible Roles),CHG-04.4,Mechanisms exist to limit operational privileges for implementing changes.,6,Technical,Enhanced,Protect,x,x,,,x,,x,x,x,x,x,x,x,x,x,,,,,x,,,x,x,x,,x,,,,,,
Change Management,CHG-04(e),Library Privileges,CHG-04.5,Mechanisms exist to restrict software library privileges to those individuals with a pertinent business need for access. ,8,Technical,Enhanced,Protect,x,x,,,x,,x,x,x,x,x,x,x,x,x,,,,,x,,,x,x,x,,x,,,,,,
Change Management,CHG-05,Stakeholder Notification of Changes ,CHG-05,Mechanisms exist to ensure stakeholders are made aware of and understand the impact of proposed changes. ,9,Technical,Basic,Protect,x,x,,,x,,x,x,x,x,x,x,x,x,x,,,,,x,,,x,x,x,,x,,,,,,
Change Management,CHG-06,Security Functionality Verification,CHG-06,Mechanisms exist to verify the functionality of security controls when anomalies are discovered.,9,Technical,Basic,Protect,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,
Change Management,CHG-06(a),Report Verification Results,CHG-06.1,Mechanisms exist to report the results of security and privacy function verification to senior management.,5,Technical,Basic,Identify,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,x,,,,
Cloud Security,CLD-01,Cloud Services,CLD-01,Mechanisms exist to facilitate the implementation of cloud management controls to ensure cloud instances are secure and in-line with industry practices. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Cloud Security,CLD-02,Cloud Security Architecture ,CLD-02,"Mechanisms exist to ensure the cloud security architecture supports the organization's technology strategy to securely design, configure and maintain cloud employments. ",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Cloud Security,CLD-03,Security Management Subnet ,CLD-03,Mechanisms exist to host security-specific technologies in a dedicated subnet.,6,Technical,Basic,Protect,,,,,,x,x,x,,,,,,,,,,,,x,x,x,,,,,,,,,,,
Cloud Security,CLD-04,Application & Program Interface (API) Security ,CLD-04,Mechanisms exist to ensure support for secure interoperability between components.,9,Technical,Basic,Protect,,,,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Cloud Security,CLD-05,Virtual Machine Images ,CLD-05,Mechanisms exist to ensure the integrity of virtual machine images at all times. ,8,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,x,,,x,,,
Cloud Security,CLD-06,Multi-Tenant Environments ,CLD-06,Mechanisms exist to ensure multi-tenant owned or managed assets (physical and virtual) are designed and governed such that provider and customer (tenant) user access is appropriately segmented from other tenant users.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Cloud Security,CLD-07,Data Handling & Portability,CLD-07,"Mechanisms exist to ensure cloud providers use secure protocols for the import, export and management of data in cloud-based services. ",4,Technical,Basic,Protect,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,
Cloud Security,CLD-08,Standardized Virtualization Formats ,CLD-08,Mechanisms exist to ensure interoperability by requiring cloud providers to use industry-recognized formats and provide documentation of custom changes for review.,4,Technical,Basic,Protect,,,,,,,,,x,,,x,x,,,x,,,x,,,,,,,,x,,x,x,,,
Cloud Security,CLD-09,"Geolocation Requirements for Processing, Storage and Service Locations",CLD-09,"Mechanisms exist to control the location of cloud processing/storage based on business requirements, as well as statutory, regulatory and contractual obligations. ",10,Technical,Basic,Protect,,,,x,x,,,x,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,x,,,x,,,
Cloud Security,CLD-10,Sensitive Data In Public Cloud Providers,CLD-10,Mechanisms exist to limit and manage the storage of sensitive data in public cloud providers. ,6,Technical,Basic,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
Cloud Security,CLD-11,Cloud Access Point (CAP),CLD-11,Mechanisms exist to utilize Cloud Access Points (CAPs) to provide boundary protection and monitoring functions that both provide access to the cloud and protect the organization from the cloud.,7,Technical,Enhanced,Protect,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Compliance,CPL-01,"Statutory, Regulatory & Contractual Compliance ",CPL-01,"Mechanisms exist to facilitate the identification and implementation of relevant legislative statutory, regulatory and contractual controls.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Compliance,CPL-02,Security Controls Oversight ,CPL-02,Mechanisms exist to provide a security controls oversight function.,10,Management,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Compliance,CPL-02(a),Internal Audit Function,CPL-02.1,Mechanisms exist to implement an internal audit function that is capable of providing senior organization management with insights into the appropriateness of the organization's technology and information governance processes.,5,Management,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Compliance,CPL-03,Security Assessments ,CPL-03,"Mechanisms exist to ensure managers regularly review the processes and documented procedures within their area of responsibility to adhere to appropriate security policies, standards and other applicable requirements.",10,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Compliance,CPL-03(a),Independent Assessors ,CPL-03.1,"Mechanisms exist to utilize independent assessors at planned intervals or when the system, service or project undergoes significant changes.",6,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Compliance,CPL-03(b),Functional Review Of Security Controls ,CPL-03.2,Mechanisms exist to regularly review assets for compliance with the organization’s cybersecurity and privacy policies and standards. ,8,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Compliance,CPL-04,Audit Activities ,CPL-04,Mechanisms exist to plan audits that minimize the impact of audit activities on business operations.,5,Management,Basic,Identify,,,,,,,x,,,,,x,x,,x,x,,,x,,x,x,x,x,,,,,,,x,,
Configuration Management,CFG-01,Configuration Management Program,CFG-01,Mechanisms exist to facilitate the implementation of configuration management controls.,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Configuration Management,CFG-01(a),Assignment of Responsibility,CFG-01.1,Mechanisms exist to implement a segregation of duties for configuration management that prevents developers from performing production configuration management duties.,5,Technical,Enhanced,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-02,System Hardening Through Baseline Configurations ,CFG-02,"Mechanisms exist to develop, document and maintain secure baseline configurations for technology platform that are consistent with industry-accepted system hardening standards. ",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Configuration Management,CFG-02(a),Reviews & Updates,CFG-02.1,"Mechanisms exist to review and update baseline configurations:
 ▪ At least annually;
 ▪ When required due to so; or
 ▪ As part of system component installations and upgrades.",8,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Configuration Management,CFG-02(b),Automated Central Management & Verification ,CFG-02.2,Automated mechanisms exist to govern and report on baseline configurations of the systems. ,7,Technical,Enhanced,Detect,,,,,,,,,x,,,,,,,,,,x,,,,x,x,,,,,,,x,,
Configuration Management,CFG-02(c),Retention Of Previous Configurations ,CFG-02.3,Mechanisms exist to retain previous versions of baseline configuration to support roll back. ,3,Technical,Enhanced,Identify,,,,,,,x,,x,,,,,,,x,,,x,,x,,x,x,,,x,,,x,x,,
Configuration Management,CFG-02(d),Development & Test Environment Configurations,CFG-02.4,Mechanisms exist to manage baseline configurations for development and test environments separately from operational baseline configurations to minimize the risk of accidental changes.,5,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Configuration Management,CFG-02(e),"Configure Systems, Components or Services for High-Risk Areas ",CFG-02.5,Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations.,8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Configuration Management,CFG-02(f),Network Device Configuration File Synchronization,CFG-02.6,Mechanisms exist to configure network devices to synchronize startup and running configuration files. ,7,Technical,Enhanced,Protect,,x,x,x,,x,x,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,,x,,
Configuration Management,CFG-02(g),Approved Deviations ,CFG-02.7,Mechanisms exist to document and manage approved deviations to standardized configurations.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-02(h),Respond To Unauthorized Changes ,CFG-02.8,Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents. ,9,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-02(i),Baseline Tailoring,CFG-02.9,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 ▪ Mission / business functions;
 ▪ Operational environment;
 ▪ Specific threats or vulnerabilities; or
 ▪ Other conditions or situations that could affect mission / business success.",9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-03,Least Functionality,CFG-03,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services. ",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-03(a),Periodic Review,CFG-03.1,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services.",8,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-03(b),Prevent Program Execution,CFG-03.2,Automated mechanisms exist to prevent the execution of unauthorized software programs. ,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Configuration Management,CFG-03(c),Unauthorized or Authorized Software (Blacklisting or Whitelisting),CFG-03.3,Mechanisms exist to whitelist or blacklist applications in an order to limit what is authorized to execute on systems.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Configuration Management,CFG-03(d),Split Tunneling,CFG-03.4,Mechanisms exist to prevent systems from creating split tunneling connections or similar techniques that could be used to exfiltrate data.,8,Technical,Basic,Protect,,,,x,x,,,x,,x,,,,,,,,x,,x,x,x,x,x,,,x,,,x,x,,
Configuration Management,CFG-04,Software Usage Restrictions ,CFG-04,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,9,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
